id;name;region;group_key;category;tags;hidden;is_local;rating;description;access;coord_x;coord_y;created_at;lat;lng
osm-1506655011;ბირთვისის ციხე;ქვემო ქართლი;leisure;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";false;false;4.8;ღირსშესანიშნაობა — ქვემო ქართლი.;{};67.18;77.02;2026-08-03 10:38:42.238563+00;41.6089798;44.5355328
osm-1551655810;ნიკო ფიროსმანაშვილის სახელმწიფო მუზეუმი;თბილისი;leisure;მუზეუმი;"[""მუზეუმი"",""თბილისი""]";false;false;4.8;მუზეუმი — თბილისი.;{};71.02;72.88;2026-08-03 10:38:42.238563+00;41.7186659;44.8003272
osm-1561059942;გიორგი ლეონიძის სახელობის ქართული ლიტერატურის სახელმწიფო მუზეუმი;თბილისი;leisure;მუზეუმი;"[""მუზეუმი"",""თბილისი""]";false;false;4.8;მუზეუმი — თბილისი.;{};71;73.61;2026-08-03 10:38:42.238563+00;41.699388;44.7991841
osm-2645376053;საყდრისი;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";false;false;4.9;ღირსშესანიშნაობა — ქვემო ქართლი.;{};65.13;85.40;2026-08-03 10:38:42.238563+00;41.38696;44.39413
osm-2891332680;ელენე ახვლედიანის სახლ-მუსეუმი;თბილისი;culture;მუზეუმი;"[""მუზეუმი"",""თბილისი""]";false;false;4.9;მუზეუმი — თბილისი.;{};70.88;73.37;2026-08-03 10:38:42.238563+00;41.70579;44.7906
osm-2971963454;მამძიშხა;სამეგრელო;nature;ხედი;"[""ხედი"",""სამეგრელო""]";false;false;4.9;ხედი — სამეგრელო.;{};6.30;12.99;2026-08-03 10:38:42.238563+00;43.30588;40.33489
osm-3040997621;ტბები ქორულდი;სვანეთი;nature;ხედი;"[""ხედი"",""სვანეთი""]";true;true;4.4;ხედი — სვანეთი.;{};40.65;21.25;2026-08-03 10:38:42.238563+00;43.08691;42.70468
osm-3153824081;"არტ-ვილა ""გარიყულა""";შიდა ქართლი;culture;გალერეა;"[""გალერეა"",""შიდა ქართლი""]";true;true;4.4;გალერეა — შიდა ქართლი.;{};64.20;66.72;2026-08-03 10:38:42.238563+00;41.88195;44.32975
osm-3448495777;უთვირი;სვანეთი;nature;ხედი;"[""ხედი"",""სვანეთი""]";true;true;4.4;ხედი — სვანეთი.;{};34.67;21.48;2026-08-03 10:38:42.238563+00;43.08067;42.29229
osm-3569927543;ალაზნის ველის გადმოსახედი;კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};93.92;67.07;2026-08-03 10:38:42.238563+00;41.87252;46.38067
osm-3569927545;დაღესტნის გადმოსახედი;კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};94.01;67.05;2026-08-03 10:38:42.238563+00;41.8731;46.38661
osm-3578395922;ტახტითეფას ტალახის ვულკანები;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";false;false;4.9;ღირსშესანიშნაობა — კახეთი.;{};86.14;90.72;2026-08-03 10:38:42.238563+00;41.246;45.84399
osm-3583287514;ოკაცეს კანიონი;იმერეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""იმერეთი""]";true;true;4.4;ღირსშესანიშნაობა — იმერეთი.;{};38.39;45.11;2026-08-03 10:38:42.238563+00;42.45447;42.54911
osm-3583287516;კინჩხას დიდი ჩანჩქერი;იმერეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""იმერეთი""]";true;true;4.4;ღირსშესანიშნაობა — იმერეთი.;{};38.41;43.56;2026-08-03 10:38:42.238563+00;42.4957;42.55019
osm-3607742306;მინერალური წყალი;სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};51.92;69.95;2026-08-03 10:38:42.238563+00;41.79635;43.48246
osm-3607742377;"წაღვერის ციხე ""უზნარიანი""";სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};52.05;69.85;2026-08-03 10:38:42.238563+00;41.7991;43.49115
osm-4436780991;მანქანების ბოლო გასაჩერებელი (3183 მ.);სვანეთი;nature;ხედი;"[""ხედი"",""სვანეთი""]";true;true;4.4;ხედი — სვანეთი.;{};43.77;23.32;2026-08-03 10:38:42.238563+00;43.03211;42.9199
osm-3682549787;დავით კაკაბაძის სახელობის ქუთაისის სახვითი ხელოვნების გალერეა;იმერეთი;culture;გალერეა;"[""გალერეა"",""იმერეთი""]";true;true;4.4;გალერეა — იმერეთი.;{};40.60;52.05;2026-08-03 10:38:42.238563+00;42.27079;42.7012
osm-3706247846;თორღვას გოგირდის აბანო;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};81.06;52.62;2026-08-03 10:38:42.238563+00;42.25548;45.49303
osm-3779973775;ძველი საბჭოთა ბულდოზერი;სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};49.04;68.88;2026-08-03 10:38:42.238563+00;41.82461;43.28372
osm-4006459356;კესელოს კოშკები;კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};83.02;47.91;2026-08-03 10:38:42.238563+00;42.38028;45.62862
osm-4006528027;ხორნაბუჯი;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};90.37;81.66;2026-08-03 10:38:42.238563+00;41.48606;46.13578
osm-4006544463;დევების გადასახედი;კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};97.21;95.19;2026-08-03 10:38:42.238563+00;41.1275;46.60724
osm-4117121044;ქილაკუპრას ტალახის ვულკანები;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";false;false;4.9;ღირსშესანიშნაობა — კახეთი.;{};85.07;87.40;2026-08-03 10:38:42.238563+00;41.33398;45.76999
osm-4152665530;სიყვარულის მოსახვევი;სამცხე-ჯავახეთი;nature;ხედი;"[""ხედი"",""სამცხე-ჯავახეთი""]";true;true;4.4;ხედი — სამცხე-ჯავახეთი.;{};42.42;71.25;2026-08-03 10:38:42.238563+00;41.76195;42.82725
osm-4181937896;ზედა ჩხუტუნეთის მაჭახლის ისტორიულ-ეთნოგრაფიული მუზეუმი;აჭარა;culture;მუზეუმი;"[""მუზეუმი"",""აჭარა""]";true;true;4.4;მუზეუმი — აჭარა.;{};28.39;81.53;2026-08-03 10:38:42.238563+00;41.48942;41.85868
osm-4201900096;მარტვილის მხარეთმცოდნეობის მუზეუმი;სამეგრელო;culture;მუზეუმი;"[""მუზეუმი"",""სამეგრელო""]";true;true;4.4;მუზეუმი — სამეგრელო.;{};35.93;46.62;2026-08-03 10:38:42.238563+00;42.41459;42.3794
osm-4234982991;ივანე მაჩაბლის მუზეუმი რომელიც ოკუპანტებმა დაანგრიეს;შიდა ქართლი;culture;მუზეუმი;"[""მუზეუმი"",""შიდა ქართლი""]";true;true;4.4;მუზეუმი — შიდა ქართლი.;{};58.86;52.44;2026-08-03 10:38:42.238563+00;42.26033;43.96122
osm-4248001794;ასტრონომიული საათი;აჭარა;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""აჭარა""]";true;true;4.4;ღირსშესანიშნაობა — აჭარა.;{};25.18;75.43;2026-08-03 10:38:42.238563+00;41.65117;41.63751
osm-4250087306;თრუსოს ხეობა;მცხეთა-მთიანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""მცხეთა-მთიანეთი""]";false;false;4.9;ღირსშესანიშნაობა — მცხეთა-მთიანეთი.;{};66.16;40.32;2026-08-03 10:38:42.238563+00;42.58143;44.46474
osm-4265827353;სტალინის საზაფხულო რეზიდენცია;სამეგრელო;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამეგრელო""]";true;true;4.4;ღირსშესანიშნაობა — სამეგრელო.;{};13.43;21.19;2026-08-03 10:38:42.238563+00;43.08854;40.82652
osm-4287142368;მენთაში;სვანეთი;nature;ხედი;"[""ხედი"",""სვანეთი""]";true;true;4.4;ხედი — სვანეთი.;{};41.58;23.59;2026-08-03 10:38:42.238563+00;43.0248;42.76923
osm-4302896147;ქართული ხალხური სიმღერისა და საკრავების სახელმწიფო მუზეუმი;თბილისი;culture;მუზეუმი;"[""მუზეუმი"",""თბილისი""]";true;true;4.4;მუზეუმი — თბილისი.;{};71.15;73.98;2026-08-03 10:38:42.238563+00;41.68948;44.80924
osm-4322870690;ჩხორია;სამეგრელო;nature;ხედი;"[""ხედი"",""სამეგრელო""]";true;true;4.4;ხედი — სამეგრელო.;{};29.68;39.77;2026-08-03 10:38:42.238563+00;42.5961;41.94792
osm-4325006493;თბილისის ისტორიულ-ეთნოგრაფიული მუზეუმი;თბილისი;culture;მუზეუმი;"[""მუზეუმი"",""თბილისი""]";false;false;4.9;მუზეუმი — თბილისი.;{};71.12;73.93;2026-08-03 10:38:42.238563+00;41.69096;44.80755
osm-4328045889;ლადო გუდიაშვილის სახელობის გალერეა;თბილისი;culture;მუზეუმი;"[""მუზეუმი"",""თბილისი""]";true;true;4.4;მუზეუმი — თბილისი.;{};71.02;73.68;2026-08-03 10:38:42.238563+00;41.69758;44.80021
osm-4341842589;სველი კლდე;შიდა ქართლი;nature;ხედი;"[""ხედი"",""შიდა ქართლი""]";true;true;4.4;ხედი — შიდა ქართლი.;{};59.12;67.77;2026-08-03 10:38:42.238563+00;41.85408;43.97943
osm-4342126392;მცირე ზოოპარკი;შიდა ქართლი;leisure;ზოოპარკი;"[""ზოოპარკი"",""შიდა ქართლი""]";true;true;4.4;ზოოპარკი — შიდა ქართლი.;{};60.90;62.96;2026-08-03 10:38:42.238563+00;41.98148;44.10193
osm-4375587393;დეკანოზ  დიმიტრი კუხალაშვილს ხონელებისგან(ნიში);იმერეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""იმერეთი""]";true;true;4.4;ღირსშესანიშნაობა — იმერეთი.;{};40.80;43.10;2026-08-03 10:38:42.238563+00;42.50795;42.71544
osm-4375628689;"""გუმათლების"" ჯვარი (1920 მ ზ.დ.)";იმერეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""იმერეთი""]";true;true;4.4;ღირსშესანიშნაობა — იმერეთი.;{};40.81;43.07;2026-08-03 10:38:42.238563+00;42.50858;42.71561
osm-4375878290;ხვამლი;იმერეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""იმერეთი""]";true;true;4.4;ღირსშესანიშნაობა — იმერეთი.;{};40.78;43.36;2026-08-03 10:38:42.238563+00;42.50084;42.71356
osm-4377610195;ლადო მუსელიანი ლენტეხის ადგილობრივი მუზეუმი;სვანეთი;culture;მუზეუმი;"[""მუზეუმი"",""სვანეთი""]";true;true;4.4;მუზეუმი — სვანეთი.;{};40.86;32.51;2026-08-03 10:38:42.238563+00;42.78861;42.71918
osm-4381996119;ნატო ვაჩნაძის სახლ-მუზეუმი;კახეთი;culture;მუზეუმი;"[""მუზეუმი"",""კახეთი""]";true;true;4.4;მუზეუმი — კახეთი.;{};85.49;72.49;2026-08-03 10:38:42.238563+00;41.72899;45.7987
osm-4382027392;იოსებ ნონეშვილის სახლ-მუზეუმი;კახეთი;culture;მუზეუმი;"[""მუზეუმი"",""კახეთი""]";true;true;4.4;მუზეუმი — კახეთი.;{};86.84;74.84;2026-08-03 10:38:42.238563+00;41.66671;45.89215
osm-4382047691;დიდების მემორიალური მუზეუმი;კახეთი;culture;მუზეუმი;"[""მუზეუმი"",""კახეთი""]";true;true;4.4;მუზეუმი — კახეთი.;{};85.33;71.91;2026-08-03 10:38:42.238563+00;41.74429;45.78765
osm-4382047692;ივანე ბერიტაშვილის მუზეუმი;კახეთი;culture;მუზეუმი;"[""მუზეუმი"",""კახეთი""]";true;true;4.4;მუზეუმი — კახეთი.;{};85.80;73.25;2026-08-03 10:38:42.238563+00;41.70892;45.82012
osm-4382492394;კოშკი;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};68.48;68.67;2026-08-03 10:38:42.238563+00;41.83033;44.62527
osm-4389263094;ვარჯანაულის ქვის თაღოვანი ხიდი (თამარის ხიდი);გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";true;true;4.4;ღირსშესანიშნაობა — გურია.;{};29.87;70.24;2026-08-03 10:38:42.238563+00;41.78858;41.96083
osm-4389270498;ცხემვანის ქვის თაღოვანი ხიდი ( თამარის ხიდი);გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";true;true;4.4;ღირსშესანიშნაობა — გურია.;{};30.09;71.23;2026-08-03 10:38:42.238563+00;41.7623;41.97616
osm-4390180794;სხალთის მამათა მონასტერი;გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";false;false;4.9;ღირსშესანიშნაობა — გურია.;{};35.21;77.94;2026-08-03 10:38:42.238563+00;41.58472;42.32947
osm-4390215490;მამუკას ციხე;გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";true;true;4.4;ღირსშესანიშნაობა — გურია.;{};28.58;68.65;2026-08-03 10:38:42.238563+00;41.83073;41.8718
osm-4391708690;ციხისყელის (ხიხანის) ციხე;გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";true;true;4.4;ღირსშესანიშნაობა — გურია.;{};37.15;79.44;2026-08-03 10:38:42.238563+00;41.54488;42.46353
osm-4391732689;ვარდციხე;გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";true;true;4.4;ღირსშესანიშნაობა — გურია.;{};37.17;79.46;2026-08-03 10:38:42.238563+00;41.54444;42.46462
osm-4391832992;ნიგაზეულის ციხე;გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";true;true;4.4;ღირსშესანიშნაობა — გურია.;{};34.02;75.48;2026-08-03 10:38:42.238563+00;41.64979;42.24729
osm-4391852791;სელიმ ხიმშიაშვილისთვის თავის მოკვეთის ადგილი;სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};38.16;79.61;2026-08-03 10:38:42.238563+00;41.54041;42.53271
osm-4391855892;სელიმ ხიმშიაშვილის სახ. მუზეუმი;გურია;culture;მუზეუმი;"[""მუზეუმი"",""გურია""]";true;true;4.4;მუზეუმი — გურია.;{};34.02;75.49;2026-08-03 10:38:42.238563+00;41.64962;42.24717
osm-4391900089;შერიფ-ბეგ ხიმშიაშვილის საზაფხულო სახლ-მუზეუმი და საფლავი;გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";true;true;4.4;ღირსშესანიშნაობა — გურია.;{};37.90;79.55;2026-08-03 10:38:42.238563+00;41.54195;42.51478
osm-4397527590;ნოდარ დუმბაძის სახლ-მუზეუმი;გურია;culture;მუზეუმი;"[""მუზეუმი"",""გურია""]";true;true;4.4;მუზეუმი — გურია.;{};33.67;63.28;2026-08-03 10:38:42.238563+00;41.97298;42.22303
osm-4401552294;ამაღლების ნიში;სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};49.11;84.76;2026-08-03 10:38:42.238563+00;41.40391;43.28875
osm-4401553791;ჭაჭკრისთავის ჯვარი;სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};49.08;84.78;2026-08-03 10:38:42.238563+00;41.40323;43.28679
osm-4401567890;გუგუნჯვარი;სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};49.10;84.75;2026-08-03 10:38:42.238563+00;41.40403;43.28793
osm-4401567891;ალაგურის((დანიელის) ჯვარი;სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};49.10;84.82;2026-08-03 10:38:42.238563+00;41.40216;43.28793
osm-4401568189;მაღალი ჯვარი (თევდორობა);სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};49.11;84.79;2026-08-03 10:38:42.238563+00;41.40316;43.28847
osm-4404041192;დროზერა;გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";true;true;4.4;ღირსშესანიშნაობა — გურია.;{};27.41;67.38;2026-08-03 10:38:42.238563+00;41.86439;41.79121
osm-4407796506;წაბლნარის ჩანჩქერი;აჭარა;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""აჭარა""]";true;true;4.4;ღირსშესანიშნაობა — აჭარა.;{};28.67;74.70;2026-08-03 10:38:42.238563+00;41.67055;41.87795
osm-4413566790;თამარ მეფის საზაფხულო რეზიდენცია (ციხე-კოშკი);სვანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სვანეთი""]";true;true;4.4;ღირსშესანიშნაობა — სვანეთი.;{};45.03;27.92;2026-08-03 10:38:42.238563+00;42.91;43.00724
osm-4414673367;ითხვისი;რაჭა-ლეჩხუმი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ღირსშესანიშნაობა — რაჭა-ლეჩხუმი.;{};49.74;50.65;2026-08-03 10:38:42.238563+00;42.30767;43.3319
osm-4414673368;ავტოგზა;რაჭა-ლეჩხუმი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ღირსშესანიშნაობა — რაჭა-ლეჩხუმი.;{};49.66;50.75;2026-08-03 10:38:42.238563+00;42.30515;43.32631
osm-4415594089;ანატორის აკლდამები;მცხეთა-მთიანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""მცხეთა-მთიანეთი""]";true;true;4.4;ღირსშესანიშნაობა — მცხეთა-მთიანეთი.;{};76.52;36.93;2026-08-03 10:38:42.238563+00;42.67134;45.18009
