id;title;type;place;date;description;free;created_at
zedashe;ზედაშე / ქვევრის ღვინის დღე;ღვინის ფესტივალი;სიღნაღი, კახეთი;მაისი;ქვევრის ღვინის ტრადიციის დღესასწაული ბაზრობითა და სუფრით.;false;2026-08-05 09:51:42.805887+00
rtveli-kakheti;რთველი 2026;სოფლის დღესასწაული;ყვარელი, კახეთი;სექტემბერი–ოქტომბერი;ყურძნის კრეფის სეზონი — მარნები იღებენ სტუმრებს, ჭყინტი ყველი და მწვადი.;false;2026-08-05 09:51:42.805887+00
shuamtoba;შუამთობა;ხალხური დღესასწაული;შუამთა, კახეთი;ივნისის ბოლო;ხალხური თამაშები, ცხენოსნობა და პოლიფონია მთის მდელოზე.;true;2026-08-05 09:51:42.805887+00
lomisoba;ლომისობა;რელიგიური დღესასწაული;ლომისის მთა, მცხეთა-მთიანეთი;სულთმოფენობიდან მე-7 კვირა;უძველესი მთის დღესასწაული მლოცველთა მსვლელობით.;true;2026-08-05 09:51:42.805887+00
atengenoba;ათენგენობა;ხალხური დღესასწაული;შატილი, ხევსურეთი;ივლისი;ხევსურული სალოცავის დღესასწაული ლუდით, ლაშქრობითა და სიმღერით.;true;2026-08-05 09:51:42.805887+00
shatiloba;შატილობა;ფესტივალი;შატილი, ხევსურეთი;აგვისტოს ბოლო;ხევსურული კულტურის ფესტივალი ციხე-სოფლის ფონზე.;true;2026-08-05 09:51:42.805887+00
kazbegoba;ყაზბეგობა;ფესტივალი;სტეფანწმინდა, ყაზბეგი;სექტემბერი;მთის დღესასწაული ცხენოსნობით, რეწვითა და ადგილობრივი კერძებით.;true;2026-08-05 09:51:42.805887+00
tianetoba;თიანეთობა;ფესტივალი;თიანეთი;სექტემბერი;მუნიციპალიტეტის დღესასწაული ხალხური ანსამბლებით.;true;2026-08-05 09:51:42.805887+00
gurianoba;გურიანობა;ფესტივალი;ოზურგეთი, გურია;სექტემბერი;გურული პოლიფონია, კრიმანჭული და ადგილობრივი კულინარია.;true;2026-08-05 09:51:42.805887+00
svanetoba;სვანეთობა;ფესტივალი;მესტია, სვანეთი;აგვისტო;სვანური ტრადიციების დღესასწაული კოშკების ფონზე.;true;2026-08-05 09:51:42.805887+00
lamproba;ლამპრობა;ხალხური დღესასწაული;მესტია, სვანეთი;თებერვალი;ღამის ჩირაღდნების მსვლელობა — უძველესი სვანური რიტუალი.;true;2026-08-05 09:51:42.805887+00
batumoba;ბათუმობა;ქალაქის დღესასწაული;ბათუმი;სექტემბრის პირველი შაბათ-კვირა;ზღვისპირა ქალაქის დღე კონცერტებითა და ფეიერვერკით.;true;2026-08-05 09:51:42.805887+00
kutaisoba;ქუთაისობა;ქალაქის დღესასწაული;ქუთაისი;2 მაისი;ქუთაისის დღე — ღონისძიებები ბაგრატისა და ცენტრალურ მოედანზე.;true;2026-08-05 09:51:42.805887+00
mtskhetoba;მცხეთობა-სვეტიცხოვლობა;რელიგიური დღესასწაული;მცხეთა;14 ოქტომბერი;ძველი დედაქალაქის მთავარი დღესასწაული სვეტიცხოველში.;true;2026-08-05 09:51:42.805887+00
bolnisoba;ბოლნისობა;ფესტივალი;ბოლნისი, ქვემო ქართლი;ოქტომბერი;ბოლნისის სიონის ირგვლივ ტრადიციული ბაზრობა და კონცერტი.;true;2026-08-05 09:51:42.805887+00
borjgaloba;ბორჯღალობა;ფესტივალი;ბორჯომი;აგვისტო;ბორჯომის კურორტის ფესტივალი პარკში კონცერტებით.;true;2026-08-05 09:51:42.805887+00
sighnaghoba;სიღნაღობა;ქალაქის დღესასწაული;სიღნაღი, კახეთი;ოქტომბერი;სიყვარულის ქალაქის დღე ღვინითა და ხალხური მუსიკით.;true;2026-08-05 09:51:42.805887+00
telavoba;თელავობა;ქალაქის დღესასწაული;თელავი, კახეთი;სექტემბერი;კახეთის ცენტრის დღესასწაული ბაზრობითა და კონცერტებით.;true;2026-08-05 09:51:42.805887+00
gonio-fest;გონიოს ფესტივალი;ისტორიული ფესტივალი;გონიო, აჭარა;ივლისი;რომაული ციხის ტერიტორიაზე ისტორიული რეკონსტრუქციები.;false;2026-08-05 09:51:42.805887+00
chesnoba;ჩურჩხელობა;გასტრონომიული ფესტივალი;გურჯაანი, კახეთი;ოქტომბერი;ჩურჩხელისა და ტკბილეულის ფესტივალი მასტერკლასებით.;true;2026-08-05 09:51:42.805887+00
honey-fest;თაფლის ფესტივალი;გასტრონომიული ფესტივალი;თბილისი;სექტემბერი;მეფუტკრეების გამოფენა-გაყიდვა რეგიონული თაფლით.;true;2026-08-05 09:51:42.805887+00
cheese-fest;ყველის ფესტივალი;გასტრონომიული ფესტივალი;თბილისი;მაისი;ქართული ყველის მრავალფეროვნება — გუდა, დამბალხაჭო, სულგუნი.;true;2026-08-05 09:51:42.805887+00
tkemali-fest;ტყემლის ფესტივალი;გასტრონომიული ფესტივალი;ზუგდიდი, სამეგრელო;მაისი;ტყემლისა და მეგრული სოუსების ფესტივალი.;true;2026-08-05 09:51:42.805887+00
kolkhoba;კოლხობა;ხალხური დღესასწაული;ქობულეთი / ლაზეთი;აგვისტო;ლაზური ტრადიციული დღესასწაული არგონავტების მითის მოტივებზე.;true;2026-08-05 09:51:42.805887+00
berikaoba;ბერიკაობა;ხალხური თეატრი;თბილისი და რეგიონები;გაზაფხული;უძველესი ნიღბოსანთა კარნავალი ნაყოფიერების აღსანიშნავად.;true;2026-08-05 09:51:42.805887+00
tbilisi-film-fest;თბილისის საერთაშორისო კინოფესტივალი;კინოფესტივალი;თბილისი;დეკემბერი;ავტორული კინოს საერთაშორისო ჩვენებები და კონკურსი.;false;2026-08-05 09:51:42.805887+00
cinedays;ბათუმის საავტორო კინოს ფესტივალი (BIAFF);კინოფესტივალი;ბათუმი;სექტემბერი;საერთაშორისო საავტორო კინოს ფესტივალი.;false;2026-08-05 09:51:42.805887+00
tbilisi-marathon;თბილისის მარათონი;სპორტი;თბილისი;ოქტომბერი;საერთაშორისო მარათონი და 10 კმ-იანი გარბენი ქალაქის ცენტრში.;false;2026-08-05 09:51:42.805887+00
rustaveli-fest;გიფტ ფესტივალი;თეატრი;თბილისი;ოქტომბერი;საერთაშორისო თეატრალური ფესტივალი მსოფლიო დასებით.;false;2026-08-05 09:51:42.805887+00
animation-fest;ნიკოზის ანიმაციის ფესტივალი;ფესტივალი;ნიკოზი, შიდა ქართლი;ივლისი;ანიმაციის საერთაშორისო ფესტივალი და სახელოსნოები.;true;2026-08-05 09:51:42.805887+00
nooseum;თბილისის ღამის მუზეუმები;გამოფენა;თბილისი;მაისი;მუზეუმების ღამე — ღია კარი და ღამის ექსკურსიები.;true;2026-08-05 09:51:42.805887+00
mountain-film;მთის კინოფესტივალი;კინოფესტივალი;მესტია, სვანეთი;სექტემბერი;ალპინიზმისა და მთის დოკუმენტური ფილმების ჩვენებები.;true;2026-08-05 09:51:42.805887+00
kolga-photo;კოლგა თბილისი ფოტო;გამოფენა;თბილისი;მაისი;ფოტოგრაფიის საერთაშორისო ბიენალე ქალაქის სივრცეებში.;true;2026-08-05 09:51:42.805887+00
bagrationi-fest;ბაგრატიონობა;ფესტივალი;ქუთაისი, ბაგრატის ტაძარი;სექტემბერი;ისტორიული ფესტივალი ტაძრის მიმდებარედ.;true;2026-08-05 09:51:42.805887+00
